id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
950,-0.083063022,7.7518462360000004,-0.648680228,0.516889344,0.667771051,-6.8016911129999995,0.01002618039446886,0.010026180394468676,-0.7115584510311687
125997,0.048814450999999995,-4.575042256000001,0.648524404,0.5169899920000001,0.667867512,-6.801791507999999,0.0058921825837610475,0.005892182583760863,-0.7570288754836747
29799,-0.22899552,0.9634250390000001,-0.648461872,0.517030385,0.667886128,-6.80183179,0.02764106503427243,0.02764106503427225,-0.5178098527181325
2583,-0.316421901,1.1356211440000001,-0.6482323870000001,0.517178636,0.66799681,-6.801979586,0.03819392774063489,0.038193927740634716,-0.4017374287791449
25826,0.032637924,-4.566077078999999,0.648214341,0.517190296,0.66799681,-6.801991206,0.003939583533632627,0.003939583533632442,-0.7785057875819176
348808,-0.120014391,-3.436604013,-0.648208562,0.517194029,0.66799681,-6.801994927000001,0.014486421335577218,0.014486421335577036,-0.6624996324156073
5600,-0.159271836,3.187669138,-0.648008093,0.517323556,0.6681305329999999,-6.802123988,0.019225018799511766,0.019225018799511585,-0.6103791311815291
168391,-0.11589478800000001,-4.253399404,-0.647882314,0.517404832,0.66820193,-6.802204943,0.013989161762820584,0.0139891617628204,-0.667969060526515
100874187,0.064221318,-4.454484304,0.647799758,0.517458182,0.6682372560000001,-6.802258071,0.007751879283161044,0.00775187928316086,-0.7365738094322092
401127,-0.134614921,-2.481237589,-0.647447079,0.517686126,0.668474088,-6.802484954,0.016248788561210478,0.016248788561210297,-0.6431151069610548
285766,-0.08740793,-4.324667549,-0.647435535,0.517693588,0.668474088,-6.802492378999999,0.010550635565451813,0.01055063556545163,-0.7057898947031662
25842,-0.09563086,4.2096509410000005,-0.64731623,0.517770709,0.66853673,-6.8025690999999995,0.011543190104956646,0.011543190104956464,-0.6948726474596756
5778,-0.269543019,2.179619195,-0.647280022,0.517794116,0.66853673,-6.802592381,0.03253537937210793,0.03253537937210775,-0.4639765996455425
728255,0.041648304,-4.581893952,0.6470101460000001,0.517968596,0.668728416,-6.802765869,0.005027187778307403,0.005027187778307218,-0.766543075237558
285126,0.141775856,-3.651611074,0.646856289,0.518068082,0.668743386,-6.802864742000001,0.01711315424854444,0.01711315424854426,-0.6336078269660206
9220,0.124693814,0.7603359359999999,0.646843979,0.518076042,0.668743386,-6.8028726520000005,0.015051254374519946,0.015051254374519764,-0.6562869542281634
102724452,0.016061595,-4.606357919,0.646832005,0.518083785,0.668743386,-6.802880345,0.001938726102367177,0.0019387261023669914,-0.8005135004145021
284443,0.18306219899999998,2.759207281,0.646831278,0.518084255,0.668743386,-6.802880813,0.02209665127019044,0.02209665127019026,-0.5787936409872317
390037,0.045894277000000004,-4.5226484419999995,0.646438915,0.51833801,0.669037336,-6.803132841,0.00553970093064665,0.005539700930646465,-0.7609058708553991
2028,-0.209644327,2.379469674,-0.64627746,0.5184424470000001,0.6691385360000001,-6.803236504,0.025305265695474196,0.025305265695474016,-0.5435016387892174
84643,0.038283274,-4.564077517,0.646103849,0.518554759,0.669249891,-6.8033479439999995,0.004621009469350627,0.004621009469350442,-0.7710106876934301
101929315,0.030681009,-4.592380004,0.645674793,0.5188323779999999,0.66957457,-6.803623225,0.003703372734480123,0.0037033727344799377,-0.7811039034468823
643669,0.24129646800000001,-1.6568134330000002,0.645388724,0.519017521,0.6697798779999999,-6.803806664,0.029125859599909362,0.029125859599909185,-0.5014783880643748
100302134,0.015624495,-4.606775839,0.644981264,0.519281287,0.670083878,-6.804067804,0.001885965639950792,0.0018859656399506065,-0.8010938201752359
10128,0.081172884,7.147524737,0.644944282,0.51930523,0.670083878,-6.804091497999999,0.009798029959989837,0.009798029959989654,-0.7140679098092827
6793,-0.106675639,5.256384857,-0.6448511379999999,0.519365538,0.670128057,-6.8041511670000006,0.012876357909410491,0.012876357909410309,-0.6802089469182975
6545,-0.422856804,1.255727604,-0.644751581,0.519430001,0.67013692,-6.804214935,0.05104122744212895,0.05104122744212877,-0.26042816901553856
100422824,-0.073084151,-4.4562288389999996,-0.644746065,0.5194335720000001,0.67013692,-6.804218467999999,0.008821673763598459,0.008821673763598275,-0.7248069891943173
440419,0.087524151,-4.421213788,0.644719742,0.5194506179999999,0.67013692,-6.804235326000001,0.010564664102863148,0.010564664102862964,-0.7056355928433808
51617,0.192898923,-3.6166989210000002,0.644545735,0.519563299,0.670248651,-6.804346751000001,0.023283999947615173,0.023283999947614997,-0.5657338255718045
10654,0.11131505900000001,5.7315568820000005,0.644265703,0.519744667,0.670448972,-6.804526007000001,0.013436362358149507,0.013436362358149325,-0.6740493790749136
105371969,0.015688986000000002,-4.606714178,0.644187325,0.519795436,0.670457833,-6.804576165,0.0018937500713891247,0.001893750071388939,-0.8010081981169208
20,-0.160419505,5.054961859,-0.644174563,0.519803702,0.670457833,-6.804584331,0.019363548992009934,0.019363548992009753,-0.608855418073587
105377736,0.060636733,-4.47306491,0.643986288,0.519925667,0.670581499,-6.80470479,0.007319199433765399,0.007319199433765215,-0.7413329160657701
574506,0.058632804000000004,-4.50133312,0.643921214,0.519967826,0.670602226,-6.804746416,0.007077313776731303,0.007077313776731119,-0.7439934504922339
151195,-0.126370811,4.185196193,-0.643781267,0.5200584970000001,0.670685514,-6.804835923,0.015253677474933787,0.015253677474933607,-0.6540604740227388
126820,-0.198187329,-1.53786134,-0.643679284,0.520124577,0.670737082,-6.804901136,0.023922340707179537,0.02392234070717936,-0.5587126256070766
92806,0.12943548800000002,1.563480225,0.643502778,0.520238954,0.670850924,-6.805013979,0.015623601464128159,0.015623601464127978,-0.6499916279386253
29034,0.02988774,-4.593138465,0.643394809,0.520308925,0.670858713,-6.80508299,0.003607620642829281,0.0036076206428290957,-0.7821570941956296
340371,0.127170175,4.664544236,0.643340452,0.520344154,0.670858713,-6.80511773,0.015350165267839326,0.015350165267839146,-0.6529991911922216
219954,0.027501683,-4.595419821,0.643304048,0.520367748,0.670858713,-6.805140993999999,0.003319609957238222,0.003319609957238037,-0.7853249643107908
147429,-0.128799429,-3.977059231,-0.643299391,0.5203707670000001,0.670858713,-6.80514397,0.015546825515914697,0.015546825515914514,-0.6508360974117265
109729161,0.173237445,-3.1655008,0.643292109,0.520375486,0.670858713,-6.805148622999999,0.020910747440020628,0.02091074744002045,-0.591837564324105
481,-0.22761703600000002,6.54573753,-0.643051602,0.5205313779999999,0.671026032,-6.805302283,0.027474674155129015,0.027474674155128838,-0.5196400094444084
54726,-0.10232672699999999,5.418159847,-0.642964879,0.520587597,0.67106485,-6.805357676,0.012351419432796067,0.012351419432795883,-0.6859828191930443
820,-0.20106894600000003,-3.125130337,-0.642822744,0.520679743,0.6711499740000001,-6.805448448,0.02427016831053556,0.02427016831053538,-0.5548868207844592
