Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
116984,0.217516,0.0377,3.0516075000000003,8099760,0.46490347718283254
116983,0.639881,0.349,-0.13465,7911458,0.020506980455486386
116969,0.9700209999999999,0.915,0.0261125,7945882,0.003971365944975234
116966,0.039330000000000004,0.00139,1.0382049999999998,8098379,0.15816297187821954
116938,0.791417,0.56,0.092055,8076219,0.014017661095125011
116937,0.231992,0.0428,0.4577625,8076221,0.06973295068262018
116931,0.700263,0.424,0.503305,8083360,0.07667131966886875
116844,0.324999,0.0808,-0.3536125,8032834,0.05386576882133043
116843,0.020992,0.000407,0.905725,8129649,0.1379797337314729
116842,0.935884,0.833,-0.0285,8108006,0.004335099950676907
116841,0.10108500000000001,0.00847,0.44397,7910200,0.06763167266224726
116840,0.982842,0.951,-0.007302500000000001,8004741,0.0011056752026722073
116835,0.816075,0.603,-0.0772475,8060660,0.011761748513165837
116832,0.43597700000000006,0.14800000000000002,0.35358249999999997,8092654,0.05386119834167762
116729,0.689528,0.41100000000000003,-0.107575,8019243,0.01638212256883809
116541,0.537788,0.235,-0.1531625,8024708,0.023327347274565854
116540,0.512976,0.212,0.2849525,8053165,0.043405464389298216
116535,0.074763,0.00481,-2.8490474999999997,7950005,0.4340435985671546
116534,0.8827799999999999,0.722,0.051085000000000005,7945859,0.0077759093826234174
116519,0.9465629999999999,0.8590000000000001,-0.0410325,7951853,0.006244417825632392
116512,0.489216,0.191,-0.21500999999999998,7950003,0.03274977195210899
116496,0.664758,0.381,-1.524125,7922846,0.23219255430777228
116461,0.463661,0.17,0.23710749999999997,7908147,0.03611631108969757
116449,0.47022200000000003,0.175,0.2853625,8099368,0.043467927611219766
116448,0.683639,0.40299999999999997,-0.177225,8068235,0.026993252829412562
116447,0.002095,4.47e-06,1.7761425,8153390,0.2705872495043886
116444,0.8229069999999999,0.616,-0.07599249999999999,8024100,0.011570550114357208
116443,0.818701,0.607,-0.09952749999999999,8162908,0.015156091401975588
116442,0.041684,0.0015300000000000001,0.76436,8176230,0.11644287186088985
116441,0.168527,0.0228,1.7576599999999998,8091402,0.2677714531649619
116412,0.7826850000000001,0.545,-0.1276025,8039766,0.019433298610383752
116379,0.717964,0.44799999999999995,-0.16786500000000001,8129848,0.025567263177740246
116372,0.9035350000000001,0.7659999999999999,0.26105500000000004,8055314,0.0397646964725419
116369,0.8591780000000001,0.6779999999999999,0.06321,8125959,0.009623144908961758
116362,0.158671,0.02,0.5796325,7897522,0.08829976252549471
116337,0.7666430000000001,0.52,-0.0815525,7944845,0.012417612343342049
116328,0.7074199999999999,0.433,-0.13414,8146839,0.02042928230138886
116285,0.497443,0.198,0.1889325,7999981,0.02877688251391616
116255,0.984627,0.956,0.0119975,8048725,0.0018209552683347648
116254,0.423903,0.14,-0.2391875,8122689,0.036433197678958085
116238,0.951258,0.87,0.054365,8013771,0.008275615157995768
116236,0.547713,0.24600000000000002,-0.216365,8013919,0.032956205283093606
116228,0.40555399999999997,0.129,-0.2520175,7911085,0.03838783947713713
116225,0.575857,0.275,0.1371825,8165622,0.020892805112843242
116179,0.925154,0.8109999999999999,0.064775,7988064,0.009861571597515944
116173,0.7093109999999999,0.436,-0.116915,7973403,0.017805065234075212
116159,0.491279,0.193,1.128515,8069668,0.1719216391263528
116154,0.306622,0.0721,0.7286675,8063739,0.11100514369397593
116151,0.778766,0.539,-0.100775,8063478,0.015346147180871019
116150,0.8370790000000001,0.639,0.05558,8121704,0.008460719583934002
116143,0.453837,0.162,0.2515875,8052703,0.03832232926878039
116138,0.794293,0.565,0.342805,8119648,0.05221925352641071
116135,0.6649579999999999,0.381,-0.14648,8078305,0.022309272931905568
116123,0.9459799999999999,0.857,0.026930000000000003,7907012,0.004095911515513922
116115,0.8573709999999999,0.6759999999999999,0.076395,8029188,0.011631870716365554
116113,0.381896,0.114,0.639015,8119444,0.0973466461248998
116093,0.956298,0.883,0.0296175,8057615,0.0045053503177435545
116092,0.310667,0.0742,0.25001,8063028,0.038081998213704206
116085,0.9261440000000001,0.813,-0.0380725,7941074,0.0057934638332231975
116071,0.989015,0.968,-0.01007,7949340,0.0015273019506426286
116068,0.15920499999999999,0.0201,0.45009499999999997,8113064,0.06856481225802642
116064,0.019455,0.000364,1.08199,8089830,0.16483358693147518
116039,0.023398,0.000522,-1.2497175,8147573,0.19038675779695263
116028,0.8264670000000001,0.622,0.06653250000000001,7993248,0.010129325530508904
115992,0.9020600000000001,0.762,0.04442,8003348,0.0067605011530939285
115950,0.498158,0.19899999999999998,0.23174250000000002,8034276,0.035298956978455906
115948,0.9797530000000001,0.9420000000000001,-0.010884999999999999,8034249,0.001651466647876917
115939,0.5458850000000001,0.244,-0.1564575,7998449,0.023829338289764603
115908,0.10507799999999999,0.0091,-1.07956,8147777,0.1644633780795987
115861,0.8734860000000001,0.7040000000000001,-0.0649575,8035315,0.00988937534873712
115827,0.8905430000000001,0.74,-0.059770000000000004,8105487,0.00909906324210783
115825,0.06410700000000001,0.0035399999999999997,-0.8422700000000001,7969204,0.12831240751920078
115817,0.017962,0.000304,-1.110355,7978260,0.1691549754431937
115811,0.35637199999999997,0.0979,0.29458,7966596,0.04487220748454131
115795,0.643541,0.354,-0.13178,8085283,0.02006973790203558
115761,0.340796,0.0892,-0.310655,7969145,0.04732122283183111
115752,0.855771,0.6729999999999999,0.0884425,7984298,0.013467299170267505
115749,0.092174,0.00705,-0.6164725000000001,7964687,0.09391231153912809
115727,0.859381,0.679,0.08152000000000001,8036503,0.012412660990384855
115708,0.846583,0.6559999999999999,-0.0672775,7977105,0.010242825775220002
115704,0.6976720000000001,0.42,-0.255855,8025328,0.0389724799993906
115703,0.725892,0.45899999999999996,0.112575,8028030,0.017143869177637404
115701,0.334242,0.0855,-0.3065025,8023528,0.04668859227322327
115677,0.158411,0.0199,-0.564865,8046099,0.08604994391640593
115650,0.874551,0.706,0.04513,8076387,0.006868669171543432
115584,0.805499,0.584,-0.1019825,7994216,0.015530108986896054
115572,0.668996,0.385,0.252965,7914015,0.038532190459504595
115560,0.8578479999999999,0.6759999999999999,-0.2075125,8079229,0.031607532912214416
115557,0.061296,0.00329,0.7598024999999999,7956551,0.11574853982696925
115548,0.7660640000000001,0.519,-0.11968250000000001,8106141,0.018226691982045636
115509,0.646663,0.35700000000000004,0.12878,8000924,0.01961268993675599
115426,0.023427,0.000533,-1.2123424999999999,8154316,0.18469270189617773
